lemma;tags;ordklasse;transfertype;falsepositive;noter
abbedi;REL;S;L;;
abinde;FAU;S;L;1;
advent;REL;S;L;1;
afbigt;SPR;S;N;;
afbræk;HAN;S;L;;
afbud;SPR;S;L;;
afgrund;VER;S;L;;
afgud;REL;S;L;;
afguderi;REL;S;L;;
afgunst;FØL;S;L;;
afhandling;SAM;S;L;;
aflad;REL;S;L;;
afmagt;FØL;S;L;;
afsked;SPR;S;L;;
aftræd;HAN;S;L;1;
agerum;FLO;S;L;1;
agt;SAN;S;L;;
agter;SØF;S;L;1;
agterstand;BES;S;L;1;
agtertanke;KOG;S;L;1;
agtning;KOG;S;L;;
akeleje;FLO;S;L;;
alant;FLO;S;L;;
alderdom;KRO;S;L;;
aldermand;SAM;S;L;;
allike;FAU;S;L;;
almisse;REL;S;L;;
alrune;FLO;S;L;;
alun;HÅN;S;L;;
alvor;KOG;S;L;;
ambolt;HÅN;S;L;;
amdam;GAS;S;L;;
ame;KVA;S;L;;
amt;SAM;S;L;;
andel;BES;S;L;;
andeputte;VER;S;N;1;
andrik;FAU;S;L;;
andvord;BES;S;L;;
ane;SLÆ;S;L;;
anfald;KRO;S;L;;
angang;HAN;S;L;;
angel;HÅN;S;L;;
angreb;MIL;S;L;;
angst;FØL;S;L;;
anhang;SAM;S;L;;
anhær;SLÆ;S;L;;
anker;SØF;S;L;;
ankomst;HAN;S;L;;
anpart;BES;S;L;;
anrigter;GAS;S;L;;
ansigt;KRO;S;L;;
anskrig;HAN;S;L;;
anslag;HAN;S;L;;
anstand;JUR;S;L;;
anstød;HAN;S;L;;
antal;KVA;S;L;;
antræd;HUS;S;L;;
anverper;HÅN;S;L;;
arbejde;HÅN;S;L;;
ark;SAM;S;L;;
arkeli;MIL;S;L;;
armbrøst;MIL;S;L;;
armod;BES;S;L;;
armtøj;MIL;S;L;;
aron;FLO;S;L;;
art;FAU;S;L;;
arvesåt;SAM;S;K;;
avnbøg;FLO;S;K;;
baj;BEK;S;L;;
bakke;SØF;S;L;;
bakkelse;GAS;S;L;;
baldrian;FLO;S;L;;
balg;MIL;S;L;;
balje;HÅN;S;L;;
ballast;SØF;S;L;;
balle;SØF;S;L;;
bane;BEV;S;L;;
banner;MIL;S;L;;
barat;BEK;S;L;;
barber;HÅN;S;L;;
barde;MIL;S;L;;
barde;FAU;S;L;;
barfred;MIL;S;L;;
bark;FLO;S;L;1;
