lemma;tags;ordklasse;transfertype;noter
arvesåt;SAM;S;K;NA
avnbøg;FLO;S;K;NA
bedrag;BES;S;K;NA
bedrift;HAN;S;K;NA
bedring;KRO;S;K;NA
begreb;KOG;S;K;NA
begængelse;HAN;S;K;NA
behjælp;HAN;S;K;NA
behold;KOG;S;K;NA
behør;SAM;S;K;NA
betryk;KOG;S;K;NA
bindøkse;HÅN;S;K;NA
bistand;SAM;S;K;NA
bradbænk;SØF;S;K;NA
brage;VER;S;K;NA
brændevin;GAS;S;K;NA
brøde;FØL;S;K;NA
bugbid;KRO;S;K;NA
bugspryd;SØF;S;K;NA
busseskib;SØF;S;K;NA
bæver;FAU;S;K;NA
bævergejl;FAU;S;K;NA
dagting;SAM;S;K;NA
dranker;SAM;S;K;USIKKER
drog;SAM;S;K;NA
drøvelse;FØL;S;K;USIKKER
dødslag;HAN;S;K;NA
efterretning;SPR;S;K;NA
embedsmand;SAM;S;K;NA
enhjørning;FLO;S;K;USIKKER
figen;FLO;S;K;NA
fil;HÅN;S;K;NA
flagermus;FAU;S;K;NA
fløj;"FAU;MIL;SAM";S;K;NA
fodgænger;SAM;S;K;NA
fordrag;JUR;S;K;NA
forehavende;HAN;S;K;NA
forhør;JUR;S;K;NA
forkøb;BES;S;K;NA
forråd;BES;S;K;NA
forsmædelse;FØL;S;K;NA
forspøg;HAN;S;K;USIKKER
forstander;SAM;S;K;NA
forsæt;HAN;S;K;NA
fortrin;HAN;S;K;NA
forår;TID;S;K;NA
fund;HAN;S;K;NA
fyrbold;MIL;S;K;NA
føring;SØF;S;K;NA
gangvogn;BEV;S;K;NA
gave;BES;S;K;USIKKER
glavind;MIL;S;K;USIKKER
græsenke;"SAM;KOG";S;K;NA
grønirisk;FAU;S;K;USIKKER
gudshus;REL;S;K;NA
guldværk;HÅN;S;K;NA
gær;FLO;S;K;NA
hedevig;GAS;S;K;NA
hjælmetegn;SAM;S;K;NA
hoffærd;HAN;S;K;NA
hovedstol;BES;S;K;DDO_N
huld;FØL;S;K;NA
husbjælke;HUS;S;K;NA
husfrue;HUS;S;K;NA
hverdag;TID;S;K;USIKKER
hverv;SAM;S;K;NA
høvedsmand;"SAM;MIL";S;K;NA
ilder;FAU;S;K;NA
indhold;RUM;S;K;NA
indtrang;HAN;S;K;NA
jabroder;SAM;S;K;USIKKER
jærnurt;FLO;S;K;USIKKER
kende;KOG;S;K;NA
kippe;HUS;S;K;USIKKER
kobberrøg;HÅN;S;K;NA
krumholt;SØF;S;K;NA
kule;"VER;SØF";S;K;NA
kundskaber;MIL;S;K;NA
kuretårn;MIL;S;K;NA
kviksølv;HÅN;S;K;NA
kvæg;FAU;S;K;NA
lade;HAN;S;K;NA
landskab;"VER;SAM";S;K;NA
ledehund;FAU;S;K;NA
lejr;MIL;S;K;NA
ligedeler;SAM;S;K;USIKKER
lignelse;"REL;KOG";S;K;NA
lykkehjul;FØL;S;K;NA
løsen;MIL;S;K;NA
maddike;FAU;S;K;USIKKER
manggods;HÅN;S;K;NA
matjessild;GAS;S;K;NA
medbroder;SAM;S;K;NA
medister;GAS;S;K;NA
medisterpølse;GAS;S;K;NA
medlidenhed;FØL;S;K;NA
midnat;TID;S;K;NA
minde;JUR;S;K;NA
mor;VER;S;K;NA
morgendag;TID;S;K;NA
morrod;FLO;S;K;NA
moskølle;SØF;S;K;NA
mundlæder;KRO;S;K;USIKKER
mundskænk;SAM;S;K;NA
noppe;HÅN;S;K;USIKKER
nyk;BEV;S;K;USIKKER
nytte;HAN;S;K;USIKKER
nødhjælper;SAM;S;K;USIKKER
nødstald;SAM;S;K;NA
