lemma;tags;ordklasse;transfertype;noter
abbedi;REL;S;L;NA
afbræk;HAN;S;L;NA
afbud;SPR;S;L;NA
afgrund;VER;S;L;NA
afgud;REL;S;L;NA
afguderi;REL;S;L;NA
afgunst;FØL;S;L;NA
afhandling;SAM;S;L;NA
aflad;REL;S;L;NA
afmagt;FØL;S;L;NA
afsked;SPR;S;L;NA
agt;SAN;S;L;NA
agtning;KOG;S;L;NA
akeleje;FLO;S;L;NA
alant;FLO;S;L;NA
alderdom;KRO;S;L;NA
aldermand;SAM;S;L;NA
allike;FAU;S;L;NA
almisse;REL;S;L;NA
alrune;FLO;S;L;NA
alun;HÅN;S;L;NA
alvor;KOG;S;L;NA
ambolt;HÅN;S;L;NA
amdam;GAS;S;L;NA
ame;KVA;S;L;NA
amt;SAM;S;L;NA
andel;BES;S;L;NA
andrik;FAU;S;L;NA
andvord;BES;S;L;NA
ane;SLÆ;S;L;NA
anfald;KRO;S;L;NA
angang;HAN;S;L;NA
angel;HÅN;S;L;NA
angreb;MIL;S;L;NA
angst;FØL;S;L;NA
anhang;SAM;S;L;NA
anhær;SLÆ;S;L;NA
anker;SØF;S;L;NA
ankomst;HAN;S;L;NA
anpart;BES;S;L;NA
anrigter;GAS;S;L;NA
ansigt;KRO;S;L;NA
anskrig;HAN;S;L;NA
anslag;HAN;S;L;NA
anstand;JUR;S;L;NA
anstød;HAN;S;L;NA
antal;KVA;S;L;NA
antræd;HUS;S;L;NA
anverper;HÅN;S;L;NA
arbejde;HÅN;S;L;NA
ark;SAM;S;L;NA
arkeli;MIL;S;L;NA
armbrøst;MIL;S;L;NA
armod;BES;S;L;NA
armtøj;MIL;S;L;NA
aron;FLO;S;L;NA
art;FAU;S;L;NA
baj;BEK;S;L;NA
bakke;SØF;S;L;NA
bakkelse;GAS;S;L;NA
baldrian;FLO;S;L;NA
balg;MIL;S;L;NA
balje;HÅN;S;L;NA
ballast;SØF;S;L;NA
balle;SØF;S;L;NA
bane;BEV;S;L;NA
banner;MIL;S;L;NA
barat;BEK;S;L;NA
barber;HÅN;S;L;NA
barde;MIL;S;L;NA
barde;FAU;S;L;NA
barfred;MIL;S;L;NA
barnsten;SØF;S;L;NA
bars;FAU;S;L;NA
barse;SØF;S;L;NA
bart;KRO;S;L;NA
bastert;GAS;S;L;NA
basun;MUS;S;L;NA
bed;HÅN;S;L;NA
bede;FLO;S;L;NA
bede;REL;S;L;NA
bede;FAU;S;L;NA
befal;SAM;S;L;NA
beg;HÅN;S;L;NA
begær;KOG;S;L;NA
behag;KOG;S;L;NA
behov;KOG;S;L;NA
bejtel;HÅN;S;L;NA
bekendelse;SPR;S;L;USIKKER
bekymmer;FØL;S;L;NA
bekymring;FØL;S;L;NA
belag;MIL;S;L;NA
belob;RUM;S;L;NA
