lemma;tags;noter
abbedi;REL;NA
afbræk;HAN;NA
afbud;SPR;NA
afgrund;VER;NA
afgud;REL;NA
afguderi;REL;NA
afgunst;FØL;NA
afhandling;SAM;NA
aflad;REL;NA
afmagt;FØL;NA
afsked;SPR;NA
agt;SAN;NA
agtning;KOG;NA
akeleje;FLO;NA
alant;FLO;NA
alderdom;KRO;NA
aldermand;SAM;NA
allike;FAU;NA
almisse;REL;NA
alrune;FLO;NA
alun;HÅN;NA
alvor;KOG;NA
ambolt;HÅN;NA
amdam;GAS;NA
ame;KVA;NA
amt;SAM;NA
andel;BES;NA
andrik;FAU;NA
andvord;BES;NA
ane;SLÆ;NA
anfald;KRO;NA
angang;HAN;NA
angel;HÅN;NA
angreb;MIL;NA
angst;FØL;NA
anhang;SAM;NA
anhær;SLÆ;NA
anker;SØF;NA
ankomst;HAN;NA
anpart;BES;NA
anrigter;GAS;NA
ansigt;KRO;NA
anskrig;HAN;NA
anslag;HAN;NA
anstand;JUR;NA
anstød;HAN;NA
antal;KVA;NA
antræd;HUS;NA
anverper;HÅN;NA
arbejde;HÅN;NA
ark;SAM;NA
arkeli;MIL;NA
armbrøst;MIL;NA
armod;BES;NA
armtøj;MIL;NA
aron;FLO;NA
art;FAU;NA
baj;BEK;NA
bakke;SØF;NA
bakkelse;GAS;NA
baldrian;FLO;NA
balg;MIL;NA
balje;HÅN;NA
ballast;SØF;NA
balle;SØF;NA
bane;BEV;NA
banner;MIL;NA
barat;BEK;NA
barber;HÅN;NA
barde;MIL;NA
barde;FAU;NA
barfred;MIL;NA
barnsten;SØF;NA
bars;FAU;NA
barse;SØF;NA
bart;KRO;NA
bastert;GAS;NA
basun;MUS;NA
bed;HÅN;NA
bede;FLO;NA
bede;REL;NA
bede;FAU;NA
befal;SAM;NA
beg;HÅN;NA
begær;KOG;NA
behag;KOG;NA
behov;KOG;NA
bejtel;HÅN;NA
bekendelse;SPR;USIKKER
bekymmer;FØL;NA
bekymring;FØL;NA
belag;MIL;NA
belob;RUM;NA
beram;SAM;USIKKER
berggeselle;HÅN;NA
berme;MIL;NA
bertram;FLO;NA
berøm;SAM;NA
beråd;KOG;NA
besked;SPR;NA
beskudding;SAM;NA
beskyt;SAM;NA
beslag;HÅN;NA
bestand;SAM;NA
bestilling;SAM;USIKKER
besvær;KOG;NA
bevilling;SAM;NA
bibel;REL;NA
bigtpenge;BES;NA
bikke;HÅN;NA
bil;HÅN;NA
billede;MUS;NA
bindike;HÅN;NA
bindsel;SØF;NA
bislag;HUS;NA
bislopperske;SAM;NA
bismer;BES;NA
bit;KVA;NA
bitte;KVA;NA
bles;FAU;NA
blide;MIL;NA
blik;HÅN;NA
blixen;VER;NA
blok;HÅN;NA
blomme;FLO;NA
blus;SØF;NA
bly;HÅN;NA
blyglætte;HÅN;NA
blæne;KRO;NA
boble;VER;NA
bog;FLO;NA
bogfinke;FAU;NA
boghvede;FLO;NA
bol;SAM;USIKKER
bole;SAM;NA
bolskab;SAM;NA
bolt;SØF;NA
bolt;HÅN;NA
bolværk;HÅN;NA
bom;SAM;NA
bommesi;BEK;NA
bomolie;GAS;NA
bomuld;BEK;NA
borg;BES;NA
borger;SAM;NA
borgerskab;SAM;NA
borgerske;SAM;NA
borgmester;SAM;NA
bort;HÅN;NA
boveri;HAN;NA
bovspryd;SØF;NA
brad;GAS;NA
bradspid;GAS;NA
brage;HÅN;NA
bram;FLO;NA
bras;FØL;NA
brase;HÅN;NA
brasen;FAU;NA
brask;FØL;NA
bremse;HÅN;NA
brik;HÅN;NA
briks;HÅN;NA
brise;VER;NA
brok;KRO;NA
brokfugl;FAU;NA
brombær;FLO;NA
brug;SAM;NA
brum;SPR;NA
bry;GAS;NA
bræk;HAN;NA
bræmme;BEK;NA
bræt;HÅN;NA
buddike;FLO;NA
bugt;VER;NA
buksbom;FLO;NA
bukse;BEK;NA
bulder;HAN;NA
bule;HAN;NA
bumester;HÅN;NA
bundt;KVA;NA
buntmager;HÅN;NA
bursprog;SAM;NA
bussemand;KRO;NA
bylt;BEK;NA
bynne;VER;NA
byse;SØF;NA
bytte;FAU;NA
bækken;KRO;NA
bære;HAN;USIKKER
bærme;SAM;NA
bæst;FAU;NA
bøddel;SAM;NA
bøddele;SAM;NA
bødker;HÅN;NA
bøffel;FAU;NA
bøje;SØF;NA
bøjert;SØF;NA
bønhas;SAM;NA
bør;BEV;NA
bøsse;MIL;NA
bøssekrudt;MIL;NA
bøssesten;MIL;NA
bøtte;HÅN;NA
både;HAN;NA
bådsmand;SØF;NA
båke;SØF;NA
båre;MIL;NA
daddel;FLO;NA
damask;BEK;NA
dat;HAN;USIKKER
datum;TID;NA
deger;KVA;NA
del;KVA;NA
desmer;FAU;NA
dialesalve;BEK;NA
digegreve;SAM;NA
digel;HÅN;NA
digt;MUS;NA
dirk;HÅN;NA
dise;BEK;NA
dising;VER;USIKKER
dobbe;FAU;NA
dobbel;SAM;NA
dok;SØF;NA
dole;SAM;NA
dolslag;BEK;NA
donkraft;HÅN;NA
drabant;MIL;NA
drager;SAM;NA
dragesele;BEV;NA
dragt;BEK;NA
dressel;BES;NA
drone;FAU;NA
dros;KRO;NA
drossel;FAU;NA
drost;SAM;NA
drue;KVA;NA
drukkenbolt;SAM;NA
drummer;REL;USIKKER
drunk;HAN;NA
dryp;HAN;NA
dræk;HUS;NA
dudendop;SAM;NA
dug;HUS;NA
dugt;SØF;NA
dukke;HUS;NA
dumrian;SAM;NA
dunder;VER;NA
dunk;HÅN;NA
dunst;SAN;USIKKER
dup;HÅN;NA
durik;FAU;NA
dus;SAM;NA
dusin;KVA;NA
dvælg;SØF;NA
dvælg;HUS;NA
dyring;TID;NA
dyst;MIL;NA
dyvel;HÅN;NA
dæksel;HÅN;NA
dæle;HÅN;NA
dødike;HÅN;NA
dørk;SØF;NA
dørns;HUS;USIKKER
dørslag;HUS;USIKKER
dåb;REL;NA
dåre;SAM;NA
dårekiste;SAM;NA
ebbe;VER;NA
eddike;GAS;NA
ege;SØF;NA
ejendom;JUR;NA
ejland;VER;NA
elende;FØL;NA
endesked;SAM;NA
endragt;SAM;NA
es;KVA;NA
es;FØL;NA
esping;SØF;NA
esse;HUS;USIKKER
etmål;SØF;NA
eventyr;HAN;NA
evert;SØF;NA
fadder;REL;NA
fadderskab;REL;NA
fadderske;REL;NA
fagte;HAN;NA
faldbom;MIL;NA
falk;FAU;NA
falkeleje;FAU;NA
falkoner;FAU;NA
falkonet;SØF;USIKKER
fals;HAN;NA
falsk;HAN;NA
falskner;SAM;NA
fane;MIL;NA
fange;MIL;USIKKER
fangst;FAU;NA
fanke;FLO;NA
fant;SAM;USIKKER
fare;FØL;NA
farlighed;FØL;NA
fart;BEV;NA
fartøj;BEV;NA
farve;HÅN;NA
fastelavn;REL;NA
feber;KRO;NA
fedel;MUS;NA
fejde;MIL;NA
fejefyr;REL;NA
fejl;HAN;NA
felt;VER;NA
fenne;VER;NA
fennikel;FLO;NA
ferdendel;KVA;NA
fernis;HÅN;NA
fetalje;GAS;NA
fetaljebroder;SAM;NA
fibel;HUS;NA
fikke;BEK;NA
filt;HÅN;NA
finke;FAU;NA
finker;GAS;NA
finne;FAU;NA
fiol;MUS;NA
firk;BES;NA
fistel;KRO;USIKKER
fjas;SPR;NA
flab;KRO;NA
flid;HAN;NA
flise;HÅN;NA
flod;VER;NA
flok;HÅN;NA
flomme;KRO;NA
flugt;MIL;NA
flæb;KRO;NA
flække;SAM;NA
fløjl;BEK;NA
fløjte;MUS;NA
foder;HÅN;NA
foermand;SAM;NA
foerværk;HÅN;NA
foged;JUR;NA
fogedi;JUR;NA
fok;SØF;NA
fold;FAU;USIKKER
foragt;FØL;NA
forbandt;HÅN;NA
forbeding;REL;NA
forborg;MIL;NA
forbund;SAM;NA
fordel;HAN;NA
fordæk;SØF;NA
fordærv;HAN;NA
forfader;SLÆ;NA
forfald;HAN;NA
forfang;HAN;NA
forgift;GAS;NA
forhoved;KRO;NA
forhæng;HUS;NA
forkastel;SØF;NA
forkering;"HAN;SAM";NA
forlag;BES;NA
forlis;BES;NA
forlisning;BES;NA
forlov;JUR;NA
forlust;BES;NA
formue;BES;NA
formynder;JUR;NA
formynderskab;JUR;NA
fornotling;JUR;NA
fornuft;FØL;NA
forpligt;JUR;NA
forprang;BES;NA
forpæling;MIL;NA
forram;HAN;NA
forræder;JUR;NA
forsigtighed;HAN;NA
forskel;KOG;NA
forspan;BEK;NA
forsprekker;SAM;NA
forstand;KOG;NA
forstrand;VER;NA
fortgang;BEV;NA
fortog;SØF;NA
fortræd;FØL;NA
fortøgering;HAN;NA
forvantskab;SLÆ;NA
forvar;HAN;NA
forvorpenhed;HAN;NA
foræring;BES;NA
fourer;"SAM;MIL";USIKKER
fragt;SØF;NA
fransos;SAM;NA
fribytter;MIL;NA
frier;SAM;NA
frihed;SAM;NA
friherre;SAM;NA
fritte;FAU;NA
frokost;GAS;NA
fromesse;REL;NA
frugt;FLO;NA
frygt;FØL;NA
frynt;SLÆ;NA
fryntskab;SLÆ;NA
frøken;SAM;NA
fråds;HAN;NA
fugt;VER;NA
fuldbord;JUR;NA
fuldmagt;JUR;NA
fusthammer;HÅN;NA
fyldest;"JUR;BES";NA
fyr;"VER;SØF";NA
fyraften;TID;NA
fyrbøder;HÅN;NA
fyrighed;FØL;NA
fyrste;SAM;NA
fyrstinde;SAM;NA
fyrtøj;HÅN;NA
fælg;HÅN;NA
fængsel;JUR;NA
fænnik;MIL;NA
fætter;SLÆ;NA
føje;JUR;NA
gadder;HUS;NA
gaffel;"GAS;MIL;SØF;HÅN";NA
galej;SØF;NA
galle;"FLO;KRO;HÅN";NA
garn;HÅN;NA
gebyr;BES;NA
gebærd;HAN;NA
gefald;"FØL;HAN";NA
gehør;SAN;NA
geled;MIL;NA
gelegenhed;HAN;NA
gelejdsmand;BEV;NA
gemak;HUS;NA
geryst;HÅN;NA
geråd;BES;NA
gesel;HÅN;NA
gesellestik;MIL;NA
gesind;HUS;NA
gesindeken;HUS;NA
geskæft;HAN;NA
geskænk;BES;NA
getov;HÅN;NA
gevind;BES;NA
gevær;MIL;NA
gie;SØF;NA
gige;MUS;NA
gigt;KRO;NA
glas;"HÅN;GAS;SØF";NA
glut;SAM;USIKKER
glætte;HÅN;NA
greve;SAM;NA
grever;GAS;NA
grib;FAU;NA
grimmenis;SAM;USIKKER
grindel;HUS;NA
groffenbrad;GAS;NA
grube;"VER;HÅN";NA
grue;"HUS;VER";NA
grus;VER;NA
grænse;SAM;NA
græsspire;FLO;USIKKER
grævling;FAU;NA
grøde;"FLO;KRO";NA
gunst;FØL;NA
gylden;BES;NA
gylle;FLO;NA
gæk;HÅN;NA
gæk;SAM;NA
gækkeri;HAN;NA
gøgelspil;HAN;NA
gøgl;HAN;NA
gøgler;SAM;NA
hage;MIL;NA
hagebøsse;MIL;NA
hakkebræt;"HUS;MUS";NA
hakkelse;FLO;NA
halle;SAM;NA
handel;HAN;NA
handske;BEK;NA
hank;HÅN;NA
