lemma;tags;noter
baj;BEK;NA
barat;BEK;NA
bommesi;BEK;NA
bomuld;BEK;NA
bræmme;BEK;NA
bukse;BEK;NA
bylt;BEK;NA
damask;BEK;NA
dialesalve;BEK;NA
dise;BEK;NA
dolslag;BEK;NA
dragt;BEK;NA
fikke;BEK;NA
fløjl;BEK;NA
forspan;BEK;NA
handske;BEK;NA
hermelin;BEK;NA
hyllike;BEK;NA
isben;BEK;NA
jakke;BEK;NA
kappe;BEK;NA
kapperøllike;BEK;NA
kaprun;BEK;NA
kipper;BEK;NA
kirsej;BEK;NA
klods;BEK;NA
korde;BEK;NA
krave;"BEK;FAU";NA
krone;BEK;NA
kruse;BEK;NA
las;BEK;NA
mumme;BEK;NA
natelrem;BEK;NA
næsedug;BEK;NA
paltsrok;BEK;NA
panser;"BEK;MIL;HÅN";NA
pantoffel;BEK;NA
parkem;BEK;NA
patine;BEK;NA
peklin;BEK;NA
peld;BEK;NA
pels;"FAU;BEK";NA
pitserring;BEK;NA
pjalt;"BEK;FØL";NA
polamit;BEK;NA
pometekens;BEK;NA
puld;BEK;NA
pykke;BEK;NA
pynt;"HAN;BEK";NA
ransel;"BEK;SØF";NA
rodset;BEK;NA
rok;BEK;NA
rotværk;BEK;NA
sadden;BEK;NA
samarie;"BEK;REL";NA
sardug;BEK;NA
sir;BEK;NA
sirat;BEK;NA
siring;BEK;NA
skar;BEK;USIKKER
skarlagen;"BEK;HÅN";NA
skramme;"KRO;BEK";NA
skyr;BEK;NA
skærbækken;BEK;NA
skørt;BEK;NA
skørtedug;BEK;NA
slæb;"HAN;SØF;BEK";NA
slør;BEK;NA
smide;BEK;USIKKER
smitte;"KRO;BEK";NA
span;BEK;NA
stammet;BEK;NA
stretsko;BEK;NA
strimmel;"KRO;BEK;HÅN";NA
strippe;BEK;NA
strømpe;BEK;NA
stukke;BEK;NA
støvle;BEK;NA
suben;BEK;NA
svans;"BEK;FAU";NA
sæbe;BEK;NA
søpig;"BEK;SØF";NA
tabin;BEK;NA
taske;BEK;NA
tirumtej;BEK;NA
tribalt;BEK;NA
trip;BEK;NA
trøje;BEK;NA
tøffel;BEK;NA
tøj;"HÅN;MIL;HUS;BEK";NA
vams;BEK;NA
venneke;BEK;NA
vindeldug;BEK;NA
vindelsnor;BEK;NA
æreklæder;BEK;NA
