lemma;tags;noter
andel;BES;NA
andvord;BES;NA
anpart;BES;NA
armod;BES;NA
bigtpenge;BES;NA
bismer;BES;NA
borg;BES;NA
dressel;BES;NA
firk;BES;NA
forlag;BES;NA
forlis;BES;NA
forlisning;BES;NA
forlust;BES;NA
formue;BES;NA
forprang;BES;NA
foræring;BES;NA
fyldest;"JUR;BES";NA
gebyr;BES;NA
geråd;BES;NA
geskænk;BES;NA
gevind;BES;NA
gylden;BES;NA
hyre;"BES;SØF";NA
indkomst;BES;NA
korn;BES;NA
kvittebrev;BES;NA
købslag;BES;NA
lening;BES;NA
livgeding;BES;NA
mark;BES;NA
medgift;BES;NA
middel;"BES;SAM;RUM";NA
mønt;BES;NA
nobel;BES;NA
ort;"BES;KVA";NA
pak;BES;NA
penningebræde;BES;NA
pens;BES;NA
pension;BES;NA
portugaløs;BES;NA
postelats;BES;NA
pragt;"HAN;BES;FØL";NA
prange;"HAN;BES;SAM";NA
pris;BES;NA
pris;"HAN;BES;FØL";NA
ranson;BES;NA
ransoning;BES;NA
regnskab;BES;NA
remp;"KRO;BES";NA
rente;BES;NA
rode;"BES;KVA";NA
rosennobel;BES;NA
rov;"HAN;BES";NA
samkøb;BES;NA
seddel;"BES;SAM";NA
skilling;BES;NA
skot;BES;NA
skyldner;BES;NA
skærv;"BES;HAN";NA
sold;BES;NA
solding;BES;NA
stikpenge;BES;NA
styr;BES;NA
styver;BES;NA
støder;BES;NA
støtte;"HÅN;BES";NA
søsling;BES;NA
tappegæld;BES;NA
tims;BES;NA
tolder;BES;NA
trilling;BES;USIKKER
tusk;BES;NA
tærling;BES;NA
underpant;BES;NA
undgeld;BES;NA
vagtpenge;BES;NA
vandel;"BES;HAN";NA
vare;"GAS;BES";NA
veksel;"HAN;BES;VER";NA
velfart;"FØL;BES;GAS;KOG";NA
velstand;BES;NA
vægt;"KVA;BES";NA
være;BES;NA
