lemma;tags;noter
bane;BEV;NA
bør;BEV;NA
dragesele;BEV;NA
fart;BEV;NA
fartøj;BEV;NA
fortgang;BEV;NA
gelejdsmand;BEV;NA
hast;BEV;NA
huj;BEV;USIKKER
il;BEV;NA
indpas;BEV;NA
karre;BEV;NA
pas;"SAM;BEV";NA
passionerer;BEV;NA
rejse;"HAN;BEV;MIL";NA
rosbåre;BEV;NA
skridt;"KRO;BEV";NA
skubkarre;BEV;NA
sluffe;BEV;NA
slæde;BEV;USIKKER
spil;"BEV;HAN;SAM";NA
spærvogn;BEV;NA
stensluffe;BEV;NA
styrte;BEV;NA
støjt;BEV;NA
sus;"VER;BEV";USIKKER
tog;BEV;NA
trav;BEV;NA
udflugt;BEV;NA
udtog;"HAN;BEV";NA
underslag;"BEV;HAN;HÅN";NA
valning;BEV;NA
