lemma;tags;noter
allike;FAU;NA
andrik;FAU;NA
art;FAU;NA
barde;FAU;NA
bars;FAU;NA
bede;FAU;NA
bles;FAU;NA
bogfinke;FAU;NA
brasen;FAU;NA
brokfugl;FAU;NA
bytte;FAU;NA
bæst;FAU;NA
bøffel;FAU;NA
desmer;FAU;NA
dobbe;FAU;NA
drone;FAU;NA
drossel;FAU;NA
durik;FAU;NA
falk;FAU;NA
falkeleje;FAU;NA
falkoner;FAU;NA
fangst;FAU;NA
finke;FAU;NA
finne;FAU;NA
fold;FAU;USIKKER
fritte;FAU;NA
grib;FAU;NA
grævling;FAU;NA
hingst;FAU;NA
hjerteslag;FAU;NA
hvalrav;FAU;NA
hvalspæk;FAU;NA
høved;FAU;NA
igle;FAU;NA
irisk;FAU;NA
kalkun;FAU;NA
kanin;FAU;NA
kapun;FAU;NA
karpe;FAU;NA
karusse;FAU;NA
kindbakke;"FAU;KRO;SØF";NA
kleppert;"FAU;SAM";NA
klov;FAU;USIKKER
kode;FAU;NA
krave;"BEK;FAU";NA
krop;FAU;NA
krybbe;FAU;NA
kråse;FAU;NA
kule;FAU;NA
kuller;"FAU;KRO";NA
kvabbe;"FAU;SØF";USIKKER
kvikstjært;FAU;NA
køje;"FAU;HUS";NA
køter;FAU;NA
los;FAU;NA
løffel;"HÅN;FAU";NA
malle;FAU;USIKKER
manse;FAU;NA
marekat;FAU;NA
mink;FAU;NA
mitte;FAU;USIKKER
musling;FAU;NA
mussel;FAU;NA
mæfikke;FAU;NA
nattergal;FAU;NA
negenøje;FAU;NA
nest;FAU;NA
næb;FAU;NA
ore;FAU;NA
padde;FAU;NA
papegøje;FAU;NA
parder;FAU;NA
pels;"FAU;BEK";NA
pert;FAU;NA
piber;"MUS;SØF;FAU";NA
pogge;FAU;NA
pote;FAU;NA
pukkel;"VER;FAU;KRO";NA
ringeldue;FAU;NA
rist;FAU;NA
rokke;FAU;NA
rokkel;FAU;NA
ros;FAU;NA
rotte;FAU;NA
rottekrudt;FAU;NA
ruse;FAU;NA
rækel;"FAU;SAM";NA
rørdrum;FAU;NA
sabel;FAU;NA
sandart;FAU;NA
sise;FAU;NA
sisik;FAU;NA
skab;FAU;NA
skildpadde;FAU;NA
skimling;FAU;NA
skimmel;FAU;NA
skuffel;"HUS;FAU";NA
skulde;FAU;NA
skæpperi;FAU;NA
slange;FAU;NA
sli;FAU;NA
snegl;FAU;NA
sneppe;FAU;NA
snude;FAU;NA
snæbel;FAU;USIKKER
sobel;FAU;NA
sobøder;FAU;NA
spand;"FAU;HAN";USIKKER
spat;FAU;NA
spelt;FAU;NA
spene;"KRO;FAU";USIKKER
spolorm;FAU;NA
sprutte;"HUS;FAU;GAS";NA
spæk;"FAU;HÅN";NA
stal;FAU;NA
stenbider;FAU;USIKKER
stenbuk;FAU;USIKKER
stever;FAU;NA
stillids;FAU;NA
stint;FAU;USIKKER
struds;FAU;NA
strunt;"HAN;FAU";NA
strømling;FAU;NA
støder;FAU;NA
suring;FAU;NA
svans;"BEK;FAU";NA
sælhund;FAU;NA
sømmere;FAU;NA
tavl;FAU;NA
tobis;FAU;NA
turteldue;FAU;NA
tæge;FAU;NA
tæve;FAU;NA
urhane;FAU;NA
utøj;FAU;USIKKER
vagtel;FAU;NA
vejdeværk;FAU;NA
vildt;"FAU;MIL";NA
vildtværk;"FAU;HÅN";NA
vise;FAU;USIKKER
æsel;FAU;NA
ørs;"FAU;MIL";NA
ås;FAU;NA
