lemma;tags;noter
akeleje;FLO;NA
alant;FLO;NA
alrune;FLO;NA
aron;FLO;NA
baldrian;FLO;NA
bede;FLO;NA
bertram;FLO;NA
blomme;FLO;NA
bog;FLO;NA
boghvede;FLO;NA
bram;FLO;NA
brombær;FLO;NA
buddike;FLO;NA
buksbom;FLO;NA
daddel;FLO;NA
fanke;FLO;NA
fennikel;FLO;NA
frugt;FLO;NA
galle;"FLO;KRO;HÅN";NA
græsspire;FLO;USIKKER
grøde;"FLO;KRO";NA
gylle;FLO;NA
hakkelse;FLO;NA
harpiks;FLO;NA
harrild;FLO;USIKKER
has;FLO;NA
heggel;FLO;NA
hegle;FLO;NA
hirse;FLO;NA
ingefær;FLO;NA
karse;FLO;NA
kim;FLO;NA
kin;FLO;NA
kirsebær;FLO;NA
klat;FLO;NA
klid;FLO;USIKKER
kløver;FLO;NA
krans;"FLO;HÅN";NA
krud;FLO;NA
krusbær;FLO;NA
krusemynte;FLO;NA
kræge;FLO;NA
kvæde;FLO;NA
kælderhals;FLO;NA
kørvel;FLO;NA
mandel;FLO;NA
mangkorn;FLO;NA
mansat;FLO;NA
mase;"KRO;FLO";NA
mask;FLO;NA
morbær;FLO;NA
mynte;FLO;NA
mysike;FLO;NA
mælde;FLO;NA
måneså;FLO;NA
natskade;FLO;NA
olie;"FLO;HÅN";NA
os;FLO;NA
paradiskorn;FLO;NA
persik;FLO;NA
persille;FLO;NA
piping;FLO;NA
plante;FLO;NA
pode;FLO;NA
poderis;FLO;NA
pol;FLO;NA
poleje;FLO;NA
poppel;FLO;NA
porreløg;FLO;NA
pors;"FLO;GAS";NA
post;FLO;NA
potte;"HÅN;FLO";NA
puppe;"HUS;FLO";NA
rams;FLO;NA
ranke;FLO;NA
raphøns;FLO;NA
rejnfan;FLO;NA
ris;"FLO;HÅN";NA
ris;FLO;NA
roe;FLO;NA
rude;FLO;NA
rug;FLO;USIKKER
ræddike;FLO;NA
rødbrissel;FLO;NA
røllike;FLO;NA
sedfer;FLO;NA
segl;FLO;NA
sevenbom;FLO;NA
singrøn;FLO;NA
skaffom;FLO;NA
skirrit;FLO;NA
smak;FLO;NA
sotidsel;FLO;NA
spanskgrønt;"HÅN;FLO";NA
spelt;FLO;NA
spilling;FLO;NA
springhorn;FLO;NA
springkorn;FLO;NA
sprok;FLO;NA
sprutning;FLO;NA
stamme;FLO;NA
stenbræk;FLO;NA
strunk;FLO;NA
stump;FLO;NA
støv;"VER;FLO";NA
svibel;FLO;USIKKER
synav;FLO;NA
turbit;FLO;NA
tvege;"FLO;HÅN";NA
ukrudt;FLO;NA
vajd;FLO;NA
vakandelbær;FLO;NA
vaterkarse;FLO;NA
vede;FLO;NA
vejbred;FLO;NA
vermut;"FLO;GAS";NA
vikke;FLO;NA
vindrue;FLO;NA
vinrude;FLO;NA
virak;FLO;NA
virk;FLO;USIKKER
volverlej;FLO;NA
weichsel;FLO;NA
