lemma;tags;noter
afgunst;FØL;NA
afmagt;FØL;NA
angst;FØL;NA
bekymmer;FØL;NA
bekymring;FØL;NA
bras;FØL;NA
brask;FØL;NA
elende;FØL;NA
es;FØL;NA
fare;FØL;NA
farlighed;FØL;NA
foragt;FØL;NA
fornuft;FØL;NA
fortræd;FØL;NA
frygt;FØL;NA
fyrighed;FØL;NA
gefald;"FØL;HAN";NA
gunst;FØL;NA
hovmod;FØL;NA
hån;FØL;NA
hånhed;FØL;NA
iver;FØL;NA
jammer;FØL;NA
jammerdal;FØL;NA
knibe;"HÅN;FØL";NA
kummer;FØL;NA
kvalm;"VER;FØL";NA
lak;FØL;NA
love;FØL;NA
lune;FØL;NA
lykke;"REL;FØL";NA
lyksalighed;FØL;NA
mag;FØL;NA
mishag;FØL;NA
møje;FØL;NA
nid;FØL;NA
overdåd;FØL;NA
overmod;FØL;NA
perikel;FØL;NA
pinelighed;FØL;NA
pjalt;"BEK;FØL";NA
plage;FØL;NA
pligt;"SAM;FØL";NA
pragt;"HAN;BES;FØL";NA
pris;"HAN;BES;FØL";NA
rakkeri;"HAN;FØL";NA
ruelse;FØL;NA
rygte;"SPR;FØL";NA
sade;FØL;NA
sagtmod;FØL;NA
sikkerhed;"FØL;HAN";NA
sind;"FØL;KOG";NA
sinkadusen;FØL;NA
sjæl;"KRO;FØL;KOG";NA
skand;FØL;NA
skemp;FØL;NA
skidt;"KRO;FØL";NA
skik;"KOG;FØL";NA
sky;FØL;NA
slemhed;FØL;NA
smærte;"FØL;KRO;SAN";NA
småhed;"KVA;FØL";NA
spe;"HAN;FØL";NA
stampe;"HAN;FØL";NA
stolthed;FØL;NA
surseende;"HAN;FØL";NA
synest;FØL;USIKKER
tant;"HUS;HAN;SPR;FØL";NA
terighed;FØL;NA
trods;FØL;NA
tugt;"HAN;FØL";NA
tugtighed;FØL;NA
tvivlmod;FØL;NA
tykke;FØL;NA
ubeskedenhed;FØL;NA
uhyre;"SAM;FØL";NA
ulykke;"FØL;HAN;REL";NA
ulyst;FØL;NA
unåde;FØL;USIKKER
utugt;"FØL;JUR";NA
vanmagt;FØL;NA
vedervordighed;FØL;NA
velbefald;FØL;NA
velfart;"FØL;BES;GAS;KOG";NA
velgefald;FØL;NA
vemodighed;FØL;NA
vilkår;"FØL;JUR";NA
vis;"HAN;FØL";USIKKER
vrag;"HAN;FØL";NA
værde;"FØL;HAN";NA
ædelhed;FØL;NA
ædling;"SAM;FØL";USIKKER
ærbarhed;FØL;NA
ære;"FØL;SAM";NA
ærlighed;"FØL;HAN";NA
