lemma;tags;noter
amdam;GAS;NA
anrigter;GAS;NA
bakkelse;GAS;NA
bastert;GAS;NA
bomolie;GAS;NA
brad;GAS;NA
bradspid;GAS;NA
bry;GAS;NA
eddike;GAS;NA
fetalje;GAS;NA
finker;GAS;NA
forgift;GAS;NA
frokost;GAS;NA
gaffel;"GAS;MIL;SØF;HÅN";NA
glas;"HÅN;GAS;SØF";NA
grever;GAS;NA
groffenbrad;GAS;NA
hippokras;GAS;NA
husblas;GAS;NA
ister;GAS;USIKKER
kallun;GAS;NA
kanel;GAS;NA
karve;GAS;NA
kavent;GAS;NA
klejne;GAS;NA
kok;GAS;NA
koldskål;GAS;NA
kommen;GAS;NA
kost;GAS;NA
krumkage;GAS;NA
krumme;GAS;NA
krydde;GAS;NA
krydder;GAS;NA
krydderi;GAS;NA
lage;GAS;NA
lejle;GAS;NA
morsel;GAS;NA
mos;GAS;NA
most;GAS;NA
mæsk;GAS;NA
måltid;GAS;USIKKER
nellike;GAS;NA
pap;GAS;NA
pikkelhering;GAS;NA
pilar;"HÅN;GAS";NA
pojte;GAS;NA
pors;"FLO;GAS";NA
posteg;GAS;NA
proviant;GAS;NA
proviantbrød;GAS;NA
pryssing;GAS;NA
pudderbysse;GAS;NA
rebbenspær;GAS;NA
rejnfald;GAS;NA
rind;GAS;NA
rosin;GAS;NA
rumeni;GAS;NA
rummeldøs;GAS;NA
salse;GAS;NA
simle;GAS;USIKKER
skink;GAS;NA
skinke;GAS;NA
skive;"GAS;HÅN;SØF;HUS";NA
skonrog;"GAS;SØF";NA
slat;"GAS;KVA";NA
smag;"GAS;SAN";NA
smolt;GAS;NA
snaskeri;GAS;NA
sole;GAS;NA
sopken;"HAN;GAS";USIKKER
spage;"SØF;GAS";NA
speceri;GAS;NA
spid;"GAS;HÅN;MIL";NA
spidseri;GAS;NA
spise;GAS;NA
spord;GAS;NA
sprot;GAS;NA
sprutte;"HUS;FAU;GAS";NA
spund;"HÅN;GAS";NA
spøl;"HUS;GAS";NA
stivelse;"GAS;SAN";NA
støvmel;GAS;NA
suben;GAS;NA
sukker;GAS;NA
suppe;GAS;NA
sylte;GAS;NA
taffel;GAS;NA
talg;GAS;NA
tolast;GAS;NA
tost;GAS;NA
tran;GAS;NA
tvebak;GAS;NA
vare;"GAS;BES";NA
velfart;"FØL;BES;GAS;KOG";NA
vermut;"FLO;GAS";NA
vestfaler;"VER;GAS";NA
vildbrad;"MIL;GAS";NA
vælling;GAS;USIKKER
