lemma;tags;noter
afbræk;HAN;NA
angang;HAN;NA
ankomst;HAN;NA
anskrig;HAN;NA
anslag;HAN;NA
anstød;HAN;NA
boveri;HAN;NA
bræk;HAN;NA
bulder;HAN;NA
bule;HAN;NA
bære;HAN;USIKKER
både;HAN;NA
dat;HAN;USIKKER
drunk;HAN;NA
dryp;HAN;NA
eventyr;HAN;NA
fagte;HAN;NA
fals;HAN;NA
falsk;HAN;NA
fejl;HAN;NA
flid;HAN;NA
fordel;HAN;NA
fordærv;HAN;NA
forfald;HAN;NA
forfang;HAN;NA
forkering;"HAN;SAM";NA
forram;HAN;NA
forsigtighed;HAN;NA
fortøgering;HAN;NA
forvar;HAN;NA
forvorpenhed;HAN;NA
fråds;HAN;NA
gebærd;HAN;NA
gefald;"FØL;HAN";NA
gelegenhed;HAN;NA
geskæft;HAN;NA
gækkeri;HAN;NA
gøgelspil;HAN;NA
gøgl;HAN;NA
handel;HAN;NA
hoffart;HAN;NA
hoffærdighed;HAN;NA
kamp;HAN;NA
kans;"KOG;HAN";NA
kiv;HAN;NA
klank;HAN;NA
kneb;HAN;NA
knæk;HAN;NA
komst;HAN;NA
kortvil;HAN;NA
krakel;HAN;NA
kræmmeri;HAN;NA
kur;HAN;NA
kvansvis;HAN;NA
lakhed;HAN;NA
lapperi;HAN;NA
lempe;"HAN;JUR";NA
lidkøb;HAN;NA
lose;HAN;NA
loven;HAN;NA
malle;HAN;NA
marter;HAN;NA
morderi;HAN;NA
måde;"KVA;HAN";NA
nødtørft;HAN;NA
opsigt;HAN;NA
optog;"HAN;MIL";NA
possement;HAN;NA
pragt;"HAN;BES;FØL";NA
pral;HAN;NA
prampering;HAN;NA
prang;HAN;NA
prange;"HAN;BES;SAM";NA
pris;"HAN;BES;FØL";NA
proces;HAN;NA
prøve;"HAN;SAM";NA
puds;HAN;NA
puk;HAN;NA
pynt;"HAN;BEK";NA
rabalder;HAN;NA
rabus;HAN;NA
rakkeri;"HAN;FØL";NA
ram;HAN;NA
rast;HAN;NA
re;"HAN;SAM";NA
rejse;"HAN;BEV;MIL";NA
rendespil;HAN;NA
retfærdighed;"HAN;SAM";NA
ridderskab;"HAN;SAM;MIL";USIKKER
rost;HAN;NA
rov;"HAN;BES";NA
rufferi;HAN;NA
rumor;HAN;NA
rust;HAN;NA
sagthed;HAN;NA
sagtighed;HAN;NA
sekkering;HAN;NA
sikkerhed;"FØL;HAN";NA
sikring;HAN;NA
simpelhed;HAN;NA
skalkefund;HAN;NA
skalkhed;HAN;NA
skamfæring;HAN;NA
skanse;HAN;NA
skarpe;"HÅN;HAN";NA
skedning;HAN;NA
skinderi;HAN;NA
skrift;"HAN;SPR;SAM";NA
skænk;"HAN;HUS";NA
skærmydsel;"MIL;HAN";NA
skærv;"BES;HAN";NA
slagt;HAN;NA
slagtning;HAN;NA
slib;"HAN;HÅN";USIKKER
slump;"HAN;KVA";NA
slut;"HAN;TID";NA
slæb;"HAN;SØF;BEK";NA
smigeri;"HAN;SPR";NA
snu;"HAN;KVA;KOG";NA
sopken;"HAN;GAS";USIKKER
spand;"FAU;HAN";USIKKER
spe;"HAN;FØL";NA
spil;"BEV;HAN;SAM";NA
spilfægtning;HAN;NA
sprung;"HAN;HÅN";NA
spøgeri;HAN;NA
stalding;HAN;NA
stampe;"HAN;FØL";NA
stands;HAN;NA
stik;HAN;NA
stilling;HAN;NA
stilling;HAN;NA
stim;"HAN;KVA";USIKKER
strunt;"HAN;FAU";NA
styr;"SAM;HAN;SØF";NA
støvning;HAN;NA
surseende;"HAN;FØL";NA
svenk;HAN;NA
svimeslag;HAN;NA
tant;"HUS;HAN;SPR;FØL";NA
tidkorting;HAN;NA
tidsfordriv;HAN;NA
tugt;"HAN;FØL";NA
tuskeri;HAN;NA
tvedragt;HAN;NA
tvedragtighed;HAN;NA
tvist;"HAN;JUR";NA
tyveri;HAN;USIKKER
udkejsning;HAN;NA
udstyrtning;HAN;NA
udtog;"HAN;BEV";NA
udvisning;"HAN;JUR";USIKKER
uflid;HAN;NA
uføje;HAN;NA
uhørsomme;HAN;NA
uledighed;HAN;NA
ulempe;"JUR;HAN";NA
ulykke;"FØL;HAN;REL";NA
umage;HAN;NA
underhold;HAN;USIKKER
underholdning;HAN;USIKKER
underslag;"BEV;HAN;HÅN";NA
upligt;"HAN;JUR";NA
vagt;"HAN;TID;MIL;SØF";NA
vandel;"BES;HAN";NA
varp;"HAN;SØF;HÅN;VER";USIKKER
vartavl;HAN;NA
veksel;"HAN;BES;VER";NA
vis;"HAN;FØL";USIKKER
vove;HAN;NA
vrag;"HAN;FØL";NA
værde;"FØL;HAN";NA
væsen;"KOG;VER;HAN";NA
ærlighed;"FØL;HAN";NA
øjeblik;"KRO;HAN;SAN;TID";NA
ørefigen;HAN;NA
åbenbaring;"HAN;REL";USIKKER
årsag;HAN;NA
