lemma;tags;noter
antræd;HUS;NA
bislag;HUS;NA
dræk;HUS;NA
dug;HUS;NA
dukke;HUS;NA
dvælg;HUS;NA
dørns;HUS;USIKKER
dørslag;HUS;USIKKER
esse;HUS;USIKKER
fibel;HUS;NA
forhæng;HUS;NA
gadder;HUS;NA
gemak;HUS;NA
gesind;HUS;NA
gesindeken;HUS;NA
grindel;HUS;NA
grue;"HUS;VER";NA
hakkebræt;"HUS;MUS";NA
herd;"HUS;HÅN";NA
husgesinde;HUS;USIKKER
hysken;HUS;NA
kakkel;HUS;NA
karnap;HUS;NA
kerte;HUS;NA
kikkert;HUS;NA
kip;HUS;NA
kippe;HUS;NA
klenodie;HUS;NA
klinke;"HUS;HÅN;MIL";NA
kop;"HUS;KRO";NA
kovs;HUS;NA
kovsken;HUS;NA
krukke;HUS;NA
krus;HUS;NA
kumme;HUS;NA
kurv;"HUS;HÅN";NA
kyssel;HUS;NA
køje;"FAU;HUS";NA
køkerske;HUS;NA
køkken;HUS;NA
køkkenmester;HUS;NA
lagen;HUS;NA
lampe;HUS;NA
lygte;HUS;NA
lædike;HUS;NA
manglebræt;HUS;USIKKER
morter;HUS;NA
mærs;"SØF;HUS";NA
måtte;HUS;NA
pande;HUS;NA
panel;HUS;NA
pavement;HUS;NA
pejs;HUS;USIKKER
pibekande;HUS;NA
pibeovn;HUS;NA
pilkentavl;HUS;NA
pisel;HUS;NA
pitser;HUS;NA
platte;"RUM;HUS";NA
port;"SAM;HUS";NA
pult;"HUS;HÅN";NA
puppe;"HUS;FLO";NA
pølle;HUS;NA
rage;HUS;NA
regel;"HUS;HÅN";NA
ridelagen;HUS;NA
rude;"RUM;HUS";NA
ruldug;HUS;NA
rylagen;HUS;NA
ræk;HUS;NA
sadelfad;HUS;NA
sallun;HUS;NA
salsirken;HUS;NA
skab;HUS;NA
skak;HUS;NA
skaktavl;HUS;NA
skammel;"HUS;HÅN";NA
skive;"GAS;HÅN;SØF;HUS";NA
skovr;HUS;NA
skrank;HUS;USIKKER
skrankværk;HUS;NA
skrave;"HUS;HÅN";NA
skrin;HUS;NA
skrivetyg;HUS;NA
skuffe;HUS;NA
skuffel;"HUS;FAU";NA
skur;HUS;USIKKER
skuttel;HUS;NA
skænk;"HAN;HUS";NA
skænkeskive;HUS;NA
skærdug;HUS;NA
skærmbræt;HUS;NA
slatte;HUS;NA
slev;HUS;NA
spand;HUS;NA
sparlagen;HUS;NA
spejl;HUS;NA
sprutte;"HUS;FAU;GAS";NA
spøl;"HUS;GAS";NA
stakit;"MIL;HUS";NA
staldmester;HUS;NA
stenhus;HUS;NA
stob;"HUS;KVA";NA
strip;HUS;NA
stundeglas;HUS;NA
stylp;HUS;NA
sæde;"HUS;SAM";USIKKER
tabelet;HUS;NA
taffelsmide;HUS;NA
tallerken;HUS;NA
tankebog;HUS;NA
tankebrev;HUS;NA
tant;"HUS;HAN;SPR;FØL";NA
tapet;HUS;NA
terne;HUS;NA
terning;HUS;NA
tilbehør;HUS;USIKKER
tine;HUS;NA
tove;HUS;NA
tragt;HUS;NA
trappe;HUS;NA
tros;"HUS;MIL";NA
tud;"KRO;HUS";NA
tun;HUS;NA
tæppe;HUS;NA
tøj;"HÅN;MIL;HUS;BEK";NA
tørk;HUS;NA
underhus;HUS;USIKKER
vejdemets;HUS;NA
vindelsten;HUS;NA
vært;"HUS;SAM";NA
værtinde;"HUS;SAM";NA
værtskab;"HUS;SAM";NA
væske;HUS;NA
våner;HUS;NA
våning;HUS;NA
