lemma;tags;noter
alun;HÅN;NA
ambolt;HÅN;NA
angel;HÅN;NA
anverper;HÅN;NA
arbejde;HÅN;NA
balje;HÅN;NA
barber;HÅN;NA
bed;HÅN;NA
beg;HÅN;NA
bejtel;HÅN;NA
berggeselle;HÅN;NA
beslag;HÅN;NA
bikke;HÅN;NA
bil;HÅN;NA
bindike;HÅN;NA
blik;HÅN;NA
blok;HÅN;NA
bly;HÅN;NA
blyglætte;HÅN;NA
bolt;HÅN;NA
bolværk;HÅN;NA
bort;HÅN;NA
brage;HÅN;NA
brase;HÅN;NA
bremse;HÅN;NA
brik;HÅN;NA
briks;HÅN;NA
bræt;HÅN;NA
bumester;HÅN;NA
buntmager;HÅN;NA
bødker;HÅN;NA
bøtte;HÅN;NA
digel;HÅN;NA
dirk;HÅN;NA
donkraft;HÅN;NA
dunk;HÅN;NA
dup;HÅN;NA
dyvel;HÅN;NA
dæksel;HÅN;NA
dæle;HÅN;NA
dødike;HÅN;NA
farve;HÅN;NA
fernis;HÅN;NA
filt;HÅN;NA
flise;HÅN;NA
flok;HÅN;NA
foder;HÅN;NA
foerværk;HÅN;NA
forbandt;HÅN;NA
fusthammer;HÅN;NA
fyrbøder;HÅN;NA
fyrtøj;HÅN;NA
fælg;HÅN;NA
gaffel;"GAS;MIL;SØF;HÅN";NA
galle;"FLO;KRO;HÅN";NA
garn;HÅN;NA
geryst;HÅN;NA
gesel;HÅN;NA
getov;HÅN;NA
glas;"HÅN;GAS;SØF";NA
glætte;HÅN;NA
grube;"VER;HÅN";NA
gæk;HÅN;NA
hank;HÅN;NA
hattestafferer;HÅN;NA
herd;"HUS;HÅN";NA
hvergarn;HÅN;NA
hylster;HÅN;NA
hyssing;"HÅN;SØF";NA
hægte;HÅN;NA
høker;HÅN;NA
høvl;HÅN;NA
isenkram;HÅN;NA
kalk;HÅN;NA
kapel;HÅN;NA
karde;HÅN;NA
karpe;HÅN;NA
karte;HÅN;NA
kegle;"HÅN;RUM";NA
kel;HÅN;NA
kile;HÅN;NA
kimme;HÅN;NA
kimmer;HÅN;NA
kipe;HÅN;NA
klamme;"HÅN;SPR";NA
klap;HÅN;NA
klapholt;HÅN;NA
klejnsmed;HÅN;NA
klinke;"HUS;HÅN;MIL";NA
klister;HÅN;NA
klokkeknevl;HÅN;NA
klokkespise;HÅN;NA
klæbber;HÅN;NA
kløft;"VER;HÅN";NA
knebel;HÅN;NA
knevel;"HÅN;SØF";NA
knibe;"HÅN;FØL";NA
knipling;HÅN;NA
knob;"SØF;HÅN";NA
kolbe;"MIL;HÅN";NA
krampe;HÅN;NA
kran;HÅN;NA
krans;"FLO;HÅN";NA
kube;HÅN;NA
kurv;"HUS;HÅN";NA
kæde;"HÅN;SAM";NA
kønrøg;HÅN;NA
kørsener;HÅN;NA
lade;HÅN;NA
langvogn;HÅN;NA
latte;"HÅN;SØF";NA
le;HÅN;USIKKER
lejd;HÅN;NA
lejder;"SØF;HÅN";NA
lo;HÅN;NA
lod;"MIL;HÅN;SØF";NA
lunte;HÅN;NA
lægte;HÅN;NA
lære;"SAM;HÅN";NA
løffel;"HÅN;FAU";NA
messing;HÅN;NA
mile;HÅN;NA
modefarve;HÅN;USIKKER
mægler;"JUR;HÅN";NA
mølle;HÅN;NA
møller;HÅN;NA
mønje;HÅN;NA
