lemma;tags;noter
anstand;JUR;NA
ejendom;JUR;NA
foged;JUR;NA
fogedi;JUR;NA
forlov;JUR;NA
formynder;JUR;NA
formynderskab;JUR;NA
fornotling;JUR;NA
forpligt;JUR;NA
forræder;JUR;NA
fuldbord;JUR;NA
fuldmagt;JUR;NA
fyldest;"JUR;BES";NA
fængsel;JUR;NA
føje;JUR;NA
hægte;JUR;NA
indlager;JUR;NA
kag;JUR;NA
klage;"SPR;JUR";NA
kost;JUR;NA
kundskab;"KOG;JUR";NA
lejde;"SAM;JUR";NA
lempe;"HAN;JUR";NA
løfte;JUR;NA
mandslag;JUR;NA
misdæder;JUR;NA
mytteri;"SØF;JUR";NA
mægler;"JUR;HÅN";NA
nødværge;JUR;NA
orlov;JUR;NA
pagt;JUR;NA
pant;JUR;NA
part;"SAM;JUR";NA
pasbord;JUR;NA
pene;JUR;NA
penningebrev;JUR;NA
prison;JUR;NA
retgang;JUR;NA
segl;"SAM;JUR";NA
skandsten;JUR;NA
skarperigter;JUR;NA
skedsherre;JUR;NA
skedsmand;JUR;NA
skylding;JUR;NA
skæker;JUR;NA
slotslov;JUR;NA
slutter;JUR;NA
sone;"SAM;JUR";NA
stavn;"JUR;VER";USIKKER
stigt;"JUR;REL";NA
stokhus;JUR;USIKKER
stokkeknægt;JUR;USIKKER
stokmester;JUR;USIKKER
straf;JUR;NA
tog;JUR;NA
togsmand;JUR;NA
tvist;"HAN;JUR";NA
udvisning;"HAN;JUR";USIKKER
ulempe;"JUR;HAN";NA
upligt;"HAN;JUR";NA
utugt;"FØL;JUR";NA
vederpart;"SAM;JUR;MIL;SPR";NA
vilkår;"FØL;JUR";NA
vished;"KOG;JUR";NA
visning;JUR;NA
vitterlighed;"KOG;JUR";NA
væddemestere;JUR;NA
vældener;JUR;NA
ægteskab;"SLÆ;JUR;REL";NA
