lemma;tags;noter
agtning;KOG;NA
alvor;KOG;NA
begær;KOG;NA
behag;KOG;NA
behov;KOG;NA
beråd;KOG;NA
besvær;KOG;NA
forskel;KOG;NA
forstand;KOG;NA
kans;"KOG;HAN";NA
kundskab;"KOG;JUR";NA
lave;KOG;NA
legenhed;KOG;NA
nykke;KOG;NA
omstændighed;KOG;NA
orden;"KOG;SAM";NA
rådslag;"KOG;SAM;SPR";USIKKER
samvittighed;KOG;NA
sind;"FØL;KOG";NA
sindighed;KOG;NA
sjæl;"KRO;FØL;KOG";NA
skabelon;"KOG;HÅN";NA
skik;"KOG;FØL";NA
snu;"HAN;KVA;KOG";NA
styrring;KOG;NA
svindighed;KOG;NA
tanke;KOG;USIKKER
tvivl;KOG;NA
tvivlagtighed;KOG;NA
ufornuft;KOG;NA
undersked;KOG;NA
underskedning;KOG;NA
urettighed;KOG;NA
usindighed;KOG;NA
uvidskab;KOG;NA
vederspil;KOG;NA
vederspændighed;KOG;USIKKER
velfart;"FØL;BES;GAS;KOG";NA
vid;KOG;USIKKER
videnskab;KOG;NA
vished;"KOG;JUR";NA
vitterlighed;"KOG;JUR";NA
væsen;"KOG;VER;HAN";NA
