lemma;tags;noter
alderdom;KRO;NA
anfald;KRO;NA
ansigt;KRO;NA
bart;KRO;NA
blæne;KRO;NA
brok;KRO;NA
bussemand;KRO;NA
bækken;KRO;NA
dros;KRO;NA
feber;KRO;NA
fistel;KRO;USIKKER
flab;KRO;NA
flomme;KRO;NA
flæb;KRO;NA
forhoved;KRO;NA
galle;"FLO;KRO;HÅN";NA
gigt;KRO;NA
grøde;"FLO;KRO";NA
hase;KRO;USIKKER
hofte;KRO;NA
igt;KRO;NA
kindbakke;"FAU;KRO;SØF";NA
knogle;KRO;NA
kop;"HUS;KRO";NA
krampe;KRO;NA
kræft;KRO;NA
kuller;"FAU;KRO";NA
kvalster;KRO;NA
kæbe;KRO;USIKKER
kæmpe;"MIL;KRO";NA
lyske;KRO;NA
mase;"KRO;FLO";NA
materie;KRO;NA
muk;KRO;NA
mæslinger;KRO;USIKKER
nakke;KRO;NA
narv;"HÅN;KRO";NA
navleorm;KRO;NA
pille;KRO;NA
pint;KRO;NA
pip;KRO;NA
pit;KRO;NA
podagel;KRO;NA
podagra;KRO;NA
pokker;"KRO;REL";NA
popelsi;KRO;NA
pukkel;"VER;FAU;KRO";NA
rampe;KRO;NA
remp;"KRO;BES";NA
ribbe;"KRO;HÅN";NA
rumpe;KRO;USIKKER
rygkræft;KRO;USIKKER
salve;KRO;NA
save;KRO;NA
sjughed;KRO;NA
sjæl;"KRO;FØL;KOG";NA
skavank;KRO;NA
skenkel;KRO;NA
skidt;"KRO;FØL";NA
skinne;"KRO;HÅN";NA
skinneben;KRO;USIKKER
skrabe;"KRO;HÅN";USIKKER
skramme;"KRO;BEK";NA
skridt;"KRO;BEV";NA
skrolle;KRO;NA
skrump;KRO;NA
skulder;KRO;NA
skæver;KRO;NA
skørbug;KRO;NA
slægt;"SLÆ;KRO";NA
smitte;"KRO;BEK";NA
smærte;"FØL;KRO;SAN";NA
snot;KRO;NA
snue;KRO;NA
spene;"KRO;FAU";USIKKER
sprinkel;KRO;NA
sprinkler;KRO;NA
sterredros;KRO;NA
stikpille;KRO;NA
strime;"VER;KRO";USIKKER
strimmel;"KRO;BEK;HÅN";NA
stær;KRO;NA
sund;KRO;NA
sundhed;KRO;NA
svimelse;KRO;USIKKER
svulst;KRO;NA
svælg;KRO;USIKKER
svær;KRO;NA
sål;"KRO;HÅN";NA
tud;"KRO;HUS";NA
venen;KRO;NA
vunde;KRO;USIKKER
vundenkrud;KRO;NA
øjeblik;"KRO;HAN;SAN;TID";NA
øjeled;KRO;NA
øjneflod;KRO;NA
