lemma;tags;noter
ame;KVA;NA
antal;KVA;NA
bit;KVA;NA
bitte;KVA;NA
bundt;KVA;NA
deger;KVA;NA
del;KVA;NA
drue;KVA;NA
dusin;KVA;NA
es;KVA;NA
ferdendel;KVA;NA
hob;KVA;NA
hælvt;KVA;NA
kardus;"MIL;KVA";NA
kvarter;"RUM;KVA;TID";NA
kvater;KVA;NA
kvint;KVA;NA
kvintin;KVA;NA
lispund;KVA;NA
morgen;KVA;NA
måde;"KVA;HAN";NA
ort;"BES;KVA";NA
overflod;"KVA;VER";NA
par;KVA;NA
pas;"KVA;RUM";NA
pibe;"MUS;KVA;HÅN";NA
pinsun;KVA;NA
pint;KVA;NA
pægl;KVA;NA
ris;KVA;NA
rode;"BES;KVA";NA
sinke;KVA;NA
skippund;KVA;NA
skokketal;KVA;NA
slat;"GAS;KVA";NA
slump;"HAN;KVA";NA
småhed;"KVA;FØL";NA
snu;"HAN;KVA;KOG";NA
som;KVA;NA
sped;KVA;NA
stig;KVA;USIKKER
stim;"HAN;KVA";USIKKER
stob;"HUS;KVA";NA
støveken;KVA;NA
svalm;"VER;KVA";USIKKER
sækkertal;KVA;NA
tom;KVA;NA
tremet;KVA;NA
trøje;KVA;NA
tøddel;"SAM;KVA";NA
tønde;"HÅN;KVA";USIKKER
vidtløftighed;"RUM;KVA";NA
vilde;KVA;NA
vol;KVA;USIKKER
vægt;"KVA;BES";NA
