lemma;tags;noter
angreb;MIL;NA
arkeli;MIL;NA
armbrøst;MIL;NA
armtøj;MIL;NA
balg;MIL;NA
banner;MIL;NA
barde;MIL;NA
barfred;MIL;NA
belag;MIL;NA
berme;MIL;NA
blide;MIL;NA
bøsse;MIL;NA
bøssekrudt;MIL;NA
bøssesten;MIL;NA
båre;MIL;NA
drabant;MIL;NA
dyst;MIL;NA
faldbom;MIL;NA
fane;MIL;NA
fange;MIL;USIKKER
fejde;MIL;NA
flugt;MIL;NA
forborg;MIL;NA
forpæling;MIL;NA
fourer;"SAM;MIL";USIKKER
fribytter;MIL;NA
fænnik;MIL;NA
gaffel;"GAS;MIL;SØF;HÅN";NA
geled;MIL;NA
gesellestik;MIL;NA
gevær;MIL;NA
hage;MIL;NA
hagebøsse;MIL;NA
harnisk;MIL;NA
havelværk;MIL;NA
homej;MIL;NA
jagt;MIL;NA
jæger;MIL;NA
kardus;"MIL;KVA";NA
kartove;MIL;NA
klinke;"HUS;HÅN;MIL";NA
knippel;MIL;NA
kogger;"MIL;SØF";NA
kolbe;"MIL;HÅN";NA
krig;MIL;NA
krudt;MIL;NA
kræft;MIL;NA
kæmpe;"MIL;KRO";NA
kårde;MIL;NA
lod;"MIL;HÅN;SØF";NA
marskal;MIL;NA
mortér;MIL;NA
mønsterplads;MIL;NA
mørser;MIL;NA
optog;"HAN;MIL";NA
orlog;"MIL;SØF";NA
overfald;MIL;NA
overskærer;"HÅN;MIL";NA
pamper;MIL;NA
panser;"BEK;MIL;HÅN";NA
patron;"HÅN;MIL";NA
pikkelhue;MIL;NA
pil;MIL;NA
pluds;MIL;NA
pok;MIL;NA
poløxe;MIL;NA
postej;MIL;NA
pundert;MIL;NA
rejse;"HAN;BEV;MIL";NA
rejsner;"SAM;MIL";NA
ridder;"SAM;MIL";NA
ridderskab;"HAN;SAM;MIL";USIKKER
ritmester;MIL;NA
rode;"SAM;MIL";NA
rodemester;"SAM;MIL";NA
rustmester;MIL;NA
ryting;MIL;NA
rytter;MIL;NA
rytteri;MIL;NA
røst;MIL;NA
sargiant;MIL;NA
skanse;"MIL;SØF";NA
skarpmese;MIL;NA
skarvagt;MIL;NA
skerpentine;MIL;NA
skildvagt;MIL;NA
skilt;"MIL;SAM";NA
skjud;MIL;USIKKER
skrot;"HÅN;MIL";NA
skrå;"HÅN;MIL";NA
skyt;MIL;NA
skytfærd;MIL;NA
skyts;MIL;NA
skytte;MIL;NA
skyttevold;MIL;NA
skærbrækker;MIL;NA
skærm;MIL;NA
skærmere;MIL;NA
skærmeslag;MIL;NA
skærmydsel;"MIL;HAN";NA
slagt;MIL;NA
slot;"MIL;SAM";NA
slyde;"MIL;HÅN";USIKKER
snaphane;MIL;NA
snare;"HÅN;MIL";NA
soldat;MIL;USIKKER
soldner;MIL;NA
spejder;MIL;NA
spid;"GAS;HÅN;MIL";NA
spids;MIL;NA
spær;MIL;NA
stakit;"MIL;HUS";NA
stekemes;MIL;NA
stenbøsse;MIL;NA
stikketøg;MIL;NA
stormhage;MIL;NA
strikmur;MIL;NA
strikværn;MIL;NA
sudler;"MIL;SAM";NA
tarse;MIL;USIKKER
telbøsse;MIL;NA
telhage;MIL;NA
tornej;MIL;USIKKER
tros;"HUS;MIL";NA
tøj;"HÅN;MIL;HUS;BEK";NA
udvagt;MIL;NA
vagt;"HAN;TID;MIL;SØF";NA
varde;"SAM;MIL";USIKKER
vardemand;MIL;NA
varetårn;MIL;NA
vederpart;"SAM;JUR;MIL;SPR";NA
vildbrad;"MIL;GAS";NA
vildt;"FAU;MIL";NA
vindearmbrøst;MIL;NA
vold;"MIL;VER";NA
væbner;MIL;NA
vægter;"MIL;SAM";NA
våbentøg;MIL;NA
ørs;"FAU;MIL";NA
