lemma;tags;noter
abbedi;REL;NA
afgud;REL;NA
afguderi;REL;NA
aflad;REL;NA
almisse;REL;NA
bede;REL;NA
bibel;REL;NA
drummer;REL;USIKKER
dåb;REL;NA
fadder;REL;NA
fadderskab;REL;NA
fadderske;REL;NA
fastelavn;REL;NA
fejefyr;REL;NA
forbeding;REL;NA
fromesse;REL;NA
helsfyr;REL;NA
jennik;REL;NA
kalent;REL;NA
kapel;REL;NA
klerk;REL;NA
kloster;REL;NA
klus;REL;NA
kætter;REL;NA
lektie;"SAM;REL";NA
lykke;"REL;FØL";NA
mareminde;REL;NA
messe;REL;NA
munk;REL;NA
mynster;REL;NA
nobiskro;REL;NA
offer;REL;NA
pale;REL;NA
pave;REL;NA
pavst;REL;NA
pings;REL;NA
pinse;REL;NA
pokker;"KRO;REL";NA
provst;REL;NA
provsti;REL;NA
salighed;REL;NA
salving;REL;NA
samarie;"BEK;REL";NA
sjælebad;REL;NA
sjæledag;REL;NA
sjælegave;REL;NA
spog;"REL;SAM";NA
stift;REL;NA
stigt;"JUR;REL";NA
strækkeben;REL;NA
tempel;REL;USIKKER
tyrk;"VER;REL";NA
ulykke;"FØL;HAN;REL";NA
underværk;REL;NA
vartegn;"SAM;REL";USIKKER
vederdøber;REL;NA
viebiskop;REL;NA
viebisp;REL;NA
viekost;REL;NA
vunder;REL;NA
ægteskab;"SLÆ;JUR;REL";NA
øjenskalk;REL;NA
åbenbaring;"HAN;REL";USIKKER
