lemma;tags;noter
belob;RUM;NA
huk;"RUM;SØF";NA
kant;RUM;NA
kegle;"HÅN;RUM";NA
klik;"RUM;SPR";NA
klod;"RUM;SØF";NA
klump;"SAM;RUM";NA
kryds;RUM;NA
krøgle;RUM;NA
kvarter;"RUM;KVA;TID";NA
middel;"BES;SAM;RUM";NA
pas;"KVA;RUM";NA
persil;RUM;NA
plade;"RUM;HÅN";NA
platte;"RUM;HUS";NA
rude;"RUM;HUS";NA
runddel;RUM;NA
spids;RUM;NA
split;"RUM;VER";NA
stribe;"VER;RUM";NA
stråle;"VER;RUM";NA
tak;RUM;NA
tip;RUM;NA
trent;"RUM;TID";NA
trille;RUM;USIKKER
vidde;"RUM;VER";USIKKER
vidtløftighed;"RUM;KVA";NA
vinkel;RUM;NA
vrille;RUM;NA
