lemma;tags;noter
afhandling;SAM;NA
aldermand;SAM;NA
amt;SAM;NA
anhang;SAM;NA
ark;SAM;NA
befal;SAM;NA
beram;SAM;USIKKER
berøm;SAM;NA
beskudding;SAM;NA
beskyt;SAM;NA
bestand;SAM;NA
bestilling;SAM;USIKKER
bevilling;SAM;NA
bislopperske;SAM;NA
bol;SAM;USIKKER
bole;SAM;NA
bolskab;SAM;NA
bom;SAM;NA
borger;SAM;NA
borgerskab;SAM;NA
borgerske;SAM;NA
borgmester;SAM;NA
brug;SAM;NA
bursprog;SAM;NA
bærme;SAM;NA
bøddel;SAM;NA
bøddele;SAM;NA
bønhas;SAM;NA
digegreve;SAM;NA
dobbel;SAM;NA
dole;SAM;NA
drager;SAM;NA
drost;SAM;NA
drukkenbolt;SAM;NA
dudendop;SAM;NA
dumrian;SAM;NA
dus;SAM;NA
dåre;SAM;NA
dårekiste;SAM;NA
endesked;SAM;NA
endragt;SAM;NA
falskner;SAM;NA
fant;SAM;USIKKER
fetaljebroder;SAM;NA
flække;SAM;NA
foermand;SAM;NA
forbund;SAM;NA
forkering;"HAN;SAM";NA
forsprekker;SAM;NA
fourer;"SAM;MIL";USIKKER
fransos;SAM;NA
frier;SAM;NA
frihed;SAM;NA
friherre;SAM;NA
frøken;SAM;NA
fyrste;SAM;NA
fyrstinde;SAM;NA
glut;SAM;USIKKER
greve;SAM;NA
grimmenis;SAM;USIKKER
grænse;SAM;NA
gæk;SAM;NA
gøgler;SAM;NA
halle;SAM;NA
hans;SAM;NA
hansa;SAM;NA
helled;SAM;NA
helt;SAM;NA
herberg;SAM;NA
herold;SAM;NA
herskab;SAM;NA
hertug;SAM;NA
hof;SAM;NA
hoffourer;SAM;NA
hov;SAM;NA
hovmand;SAM;NA
hovmester;"SAM;SØF";NA
hyrling;SAM;NA
inderste;SAM;NA
indvåner;SAM;NA
jaherre;SAM;NA
jomfru;SAM;NA
junge;SAM;NA
jungelin;SAM;NA
junker;SAM;NA
jøde;SAM;NA
kanut;SAM;NA
kejser;SAM;NA
kleppert;"FAU;SAM";NA
klovert;SAM;NA
klump;"SAM;RUM";NA
knabe;SAM;NA
knægt;SAM;NA
kobbel;SAM;NA
kogler;SAM;NA
kram;SAM;NA
krammeri;SAM;NA
kro;SAM;NA
kroer;SAM;NA
kroerske;SAM;NA
kræmmer;SAM;NA
krønike;SAM;NA
kumpan;SAM;NA
kure;SAM;NA
kvant;SAM;NA
kæde;"HÅN;SAM";NA
kæmler;SAM;NA
kæmner;SAM;NA
købmand;SAM;USIKKER
købmandskab;SAM;NA
køgemester;SAM;NA
kådner;SAM;NA
landløbere;SAM;NA
landsåt;SAM;NA
lejde;"SAM;JUR";NA
lejlighed;SAM;NA
lektie;"SAM;REL";NA
len;SAM;NA
lære;"SAM;HÅN";NA
løjert;SAM;NA
løsgængere;SAM;USIKKER
magt;SAM;NA
mandskab;SAM;NA
markgreve;SAM;NA
marstald;SAM;NA
maskepi;SAM;NA
mejer;SAM;NA
mejerske;SAM;NA
menneske;SAM;USIKKER
mester;SAM;NA
mestermand;SAM;NA
mesterskab;SAM;NA
middel;"BES;SAM;RUM";NA
mode;SAM;NA
morian;SAM;NA
mælkemund;SAM;NA
naboerske;SAM;NA
nar;SAM;NA
oldermand;SAM;NA
orden;"KOG;SAM";NA
ordning;SAM;NA
ovrighed;SAM;NA
palads;SAM;NA
paladsgreve;SAM;NA
pardel;SAM;NA
parlament;SAM;NA
part;"SAM;JUR";NA
pas;"SAM;BEV";NA
patrone;SAM;NA
paulun;SAM;NA
perk;SAM;NA
persone;SAM;NA
pfalzgreve;SAM;NA
plads;"SAM;VER";NA
plattenslager;"HÅN;SAM";NA
pligt;"SAM;FØL";NA
plogskat;SAM;NA
port;"SAM;HUS";NA
porthus;SAM;NA
portner;SAM;NA
prakker;SAM;NA
prakkerfoged;SAM;NA
prange;"HAN;BES;SAM";NA
prunk;SAM;NA
prøve;"HAN;SAM";NA
pukkere;SAM;NA
pulteri;SAM;NA
rad;SAM;NA
raskop;SAM;NA
re;"HAN;SAM";NA
regerer;SAM;NA
rejsner;"SAM;MIL";NA
rendebane;SAM;NA
rendesten;"SAM;SØF";NA
rentemester;SAM;NA
rentener;SAM;NA
retfærdighed;"HAN;SAM";NA
ribalde;SAM;NA
ridder;"SAM;MIL";NA
ridderskab;"HAN;SAM;MIL";USIKKER
rode;"SAM;MIL";NA
rodemester;"SAM;MIL";NA
roland;SAM;NA
ruffer;SAM;NA
rufferske;SAM;NA
rulle;"HÅN;SAM";NA
rækel;"FAU;SAM";NA
røver;SAM;USIKKER
rådslag;"KOG;SAM;SPR";USIKKER
schartek;SAM;NA
seddel;"BES;SAM";NA
segl;"SAM;JUR";NA
selle;"SAM;HÅN";NA
selskab;SAM;NA
sisebod;SAM;USIKKER
skaffer;SAM;NA
skalk;SAM;NA
skamper;SAM;NA
skartek;SAM;NA
skede;SAM;NA
skikking;SAM;NA
skilt;"MIL;SAM";NA
skole;SAM;NA
skrange;SAM;NA
skrift;"HAN;SPR;SAM";NA
skrivereskole;SAM;NA
skultus;SAM;NA
skyt;SAM;NA
skæft;SAM;NA
skældsbrev;SAM;NA
skælm;SAM;NA
skælmer;SAM;NA
skænder;SAM;NA
skænk;SAM;NA
skøge;SAM;NA
slagbro;SAM;NA
slemmere;SAM;USIKKER
slopsæk;SAM;NA
slot;"MIL;SAM";NA
slotsherre;SAM;NA
slugop;SAM;NA
sluse;SAM;NA
slyngel;SAM;NA
smigere;SAM;NA
snarkere;SAM;NA
snorker;SAM;NA
sone;"SAM;JUR";NA
spefugl;SAM;NA
spil;"BEV;HAN;SAM";NA
spilhus;SAM;NA
spiller;"SAM;MUS";NA
spilleside;SAM;NA
splid;SAM;NA
spog;"REL;SAM";NA
sprekker;SAM;NA
spækhøker;SAM;NA
staler;SAM;NA
stalmester;SAM;NA
stat;SAM;NA
statholder;SAM;NA
steg;SAM;NA
stratenrøver;SAM;NA
strukrøver;SAM;NA
stræde;"SAM;SØF";NA
stymper;SAM;NA
styr;"SAM;HAN;SØF";NA
styrvolt;SAM;NA
sudler;"MIL;SAM";NA
sæde;"HUS;SAM";USIKKER
sækkedragere;SAM;NA
sætning;SAM;NA
søsterskap;"SLÆ;SAM";NA
tablatur;SAM;NA
telt;SAM;NA
tilbringere;SAM;NA
togbrigge;SAM;NA
trappedrager;SAM;NA
trop;SAM;NA
trygler;SAM;USIKKER
træk;SAM;NA
træring;SAM;NA
trøjedus;SAM;NA
trøler;SAM;NA
tudehorn;"SAM;SØF";NA
tugtemester;"SAM;SØF";NA
tumler;"SAM;HÅN";NA
tumpe;SAM;NA
tusindkunstner;SAM;NA
tyran;SAM;NA
tærer;SAM;NA
tøddel;"SAM;KVA";NA
tårn;SAM;NA
uadel;SAM;NA
udligger;"HÅN;SAM";NA
ugelspegel;SAM;NA
uhyre;"SAM;FØL";NA
undersåt;SAM;NA
vandsnider;SAM;NA
varde;"SAM;MIL";USIKKER
vartegn;"SAM;REL";USIKKER
vederpart;"SAM;JUR;MIL;SPR";NA
veksler;SAM;NA
vibelle;SAM;NA
vildtbane;SAM;NA
vovehals;SAM;NA
vægter;"MIL;SAM";NA
vært;"HUS;SAM";NA
værtinde;"HUS;SAM";NA
værtskab;"HUS;SAM";NA
væsende;SAM;NA
våningshus;SAM;NA
ædelmand;SAM;NA
ædling;"SAM;FØL";USIKKER
ære;"FØL;SAM";NA
