lemma;tags;noter
anker;SØF;NA
bakke;SØF;NA
ballast;SØF;NA
balle;SØF;NA
barnsten;SØF;NA
barse;SØF;NA
bindsel;SØF;NA
blus;SØF;NA
bolt;SØF;NA
bovspryd;SØF;NA
byse;SØF;NA
bøje;SØF;NA
bøjert;SØF;NA
bådsmand;SØF;NA
båke;SØF;NA
dok;SØF;NA
dugt;SØF;NA
dvælg;SØF;NA
dørk;SØF;NA
ege;SØF;NA
esping;SØF;NA
etmål;SØF;NA
evert;SØF;NA
falkonet;SØF;USIKKER
fok;SØF;NA
fordæk;SØF;NA
forkastel;SØF;NA
fortog;SØF;NA
fragt;SØF;NA
fyr;"VER;SØF";NA
gaffel;"GAS;MIL;SØF;HÅN";NA
galej;SØF;NA
gie;SØF;NA
glas;"HÅN;GAS;SØF";NA
hovedskib;SØF;NA
hovmester;"SAM;SØF";NA
huk;"RUM;SØF";NA
hyre;"BES;SØF";NA
hyssing;"HÅN;SØF";NA
hælding;SØF;NA
indholt;SØF;NA
jolle;SØF;NA
kabe;SØF;NA
kabel;SØF;NA
kabys;SØF;NA
kahyt;SØF;NA
kindbakke;"FAU;KRO;SØF";NA
klod;"RUM;SØF";NA
klyver;SØF;NA
knevel;"HÅN;SØF";NA
knob;"SØF;HÅN";NA
kogge;SØF;NA
kogger;"MIL;SØF";NA
kragejolle;SØF;NA
kravel;SØF;NA
krejert;SØF;NA
kvabbe;"FAU;SØF";USIKKER
kås;SØF;NA
last;SØF;NA
lasttold;SØF;NA
latte;"HÅN;SØF";NA
lejder;"SØF;HÅN";NA
lod;"MIL;HÅN;SØF";NA
lodsmand;SØF;NA
luge;SØF;NA
luv;SØF;USIKKER
længe;SØF;NA
mast;SØF;NA
mat;SØF;NA
mytse;SØF;NA
mytteri;"SØF;JUR";NA
mærs;"SØF;HUS";NA
nathus;SØF;USIKKER
nåd;SØF;NA
orlog;"MIL;SØF";NA
orlogger;SØF;NA
ost;"VER;SØF";NA
pert;SØF;NA
piber;"MUS;SØF;FAU";NA
pinke;SØF;NA
pligt;SØF;NA
pram;SØF;NA
pumpe;"SØF;HÅN";NA
pøker;SØF;NA
ransel;"BEK;SØF";NA
rat;SØF;NA
red;SØF;NA
reder;SØF;NA
rende;"VER;SØF";NA
rendesten;"SAM;SØF";NA
revir;"VER;SØF";NA
ror;"SØF;HÅN";NA
ruf;"SØF;HÅN";NA
rundholt;SØF;USIKKER
røjer;SØF;NA
seglatie;SØF;NA
seglsten;SØF;NA
sejdenskib;SØF;NA
sejlads;SØF;NA
sejlgarn;SØF;NA
sigte;SØF;NA
skanse;"MIL;SØF";NA
skibsrustning;SØF;NA
skipper;SØF;NA
skive;"GAS;HÅN;SØF;HUS";NA
skonrog;"GAS;SØF";NA
skrivén;SØF;NA
skude;SØF;USIKKER
skuestage;SØF;NA
skøre;"HÅN;SØF";NA
slæb;"HAN;SØF;BEK";NA
smide;SØF;NA
snekke;SØF;NA
spage;"SØF;GAS";NA
spil;"HÅN;SØF";NA
spryd;SØF;NA
spryd;SØF;NA
stangkrejer;SØF;NA
strudse;SØF;NA
stræde;"SAM;SØF";NA
styr;"SAM;HAN;SØF";NA
søpig;"BEK;SØF";NA
søværts;SØF;NA
takkel;SØF;NA
told;SØF;NA
trisse;"HÅN;SØF";NA
trosse;SØF;NA
tudehorn;"SAM;SØF";NA
tugtemester;"SAM;SØF";NA
vagt;"HAN;TID;MIL;SØF";NA
val;SØF;NA
vant;SØF;NA
varp;"HAN;SØF;HÅN;VER";USIKKER
vaterspil;SØF;NA
vurst;SØF;NA
værft;"VER;SØF";USIKKER
våge;"VER;SØF";NA
