lemma;tags;noter
afgrund;VER;NA
blixen;VER;NA
boble;VER;NA
brise;VER;NA
bugt;VER;NA
bynne;VER;NA
dising;VER;USIKKER
dunder;VER;NA
ebbe;VER;NA
ejland;VER;NA
felt;VER;NA
fenne;VER;NA
flod;VER;NA
forstrand;VER;NA
fugt;VER;NA
fyr;"VER;SØF";NA
grube;"VER;HÅN";NA
grue;"HUS;VER";NA
grus;VER;NA
høfde;VER;NA
klint;VER;NA
klippe;VER;NA
klode;VER;NA
kløft;"VER;HÅN";NA
kridt;VER;NA
kvalm;"VER;FØL";NA
leding;VER;NA
leje;VER;NA
luft;VER;NA
marsk;VER;NA
morads;VER;NA
mudder;VER;NA
ort;"VER;HÅN";NA
ost;"VER;SØF";NA
overflod;"KVA;VER";NA
perle;VER;NA
plads;"SAM;VER";NA
plæk;VER;NA
pomissten;"VER;HÅN";NA
prik;"HÅN;VER";NA
prys;VER;NA
pukkel;"VER;FAU;KRO";NA
pus;VER;NA
put;VER;NA
pøl;VER;NA
ras;VER;NA
rende;"VER;SØF";NA
revir;"VER;SØF";NA
romer;VER;NA
russer;VER;NA
rådne;VER;NA
sanddune;VER;NA
sap;VER;NA
sasse;VER;NA
sil;VER;NA
singel;VER;NA
sjunk;VER;NA
skever;VER;NA
skeversten;VER;NA
skifer;VER;NA
slu;"VER;HÅN";USIKKER
smøg;VER;NA
solvirrel;VER;NA
spinkel;VER;NA
split;"RUM;VER";NA
stavn;"JUR;VER";USIKKER
stillighed;VER;NA
stjerneskud;VER;NA
stribe;"VER;RUM";NA
strime;"VER;KRO";USIKKER
stråle;"VER;RUM";NA
støv;"VER;FLO";NA
sump;VER;NA
sus;"VER;BEV";USIKKER
svalm;"VER;KVA";USIKKER
svaring;VER;NA
svovl;VER;NA
sværke;VER;NA
syden;VER;NA
sylt;VER;NA
tarter;VER;NA
tolv;VER;NA
trindel;VER;NA
turkeland;VER;NA
turkis;VER;NA
tvefoldighed;VER;NA
tyrk;"VER;REL";NA
ustorm;VER;NA
varp;"HAN;SØF;HÅN;VER";USIKKER
veksel;"HAN;BES;VER";NA
vestfaler;"VER;GAS";NA
vidde;"RUM;VER";USIKKER
vindvåge;VER;NA
vold;"MIL;VER";NA
værft;"VER;SØF";USIKKER
væsen;"KOG;VER;HAN";NA
våge;"VER;SØF";NA
ædelsten;VER;USIKKER
