tags;n;Percentage
HÅN;318;13,091807328118568
SAM;294;12,103746397694524
HAN;178;7,328118567311651
FAU;143;5,887196377109922
MIL;139;5,722519555372582
SØF;137;5,640181144503911
HUS;136;5,599011939069576
FLO;123;5,063812268423219
GAS;98;4,034582132564841
VER;98;4,034582132564841
KRO;96;3,952243721696171
BEK;95;3,911074516261836
FØL;95;3,911074516261836
BES;83;3,417044051049815
JUR;69;2,840675174969123
REL;63;2,593659942363113
KVA;55;2,264306298888431
KOG;43;1,770275833676410
BEV;32;1,317414573898724
MUS;29;1,193906957595718
RUM;29;1,193906957595718
SPR;26;1,070399341292713
SLÆ;25;1,029230135858378
TID;16;0,658707286949362
SAN;9;0,370522848909016
